词形,词性,褒贬色彩,感情特点,近义词,
爱戴,动词,褒义,敬重,拥戴,
爱国,动词,褒义,赞扬,报国,
爱护,动词,褒义,赞扬,爱惜/保护,
爱惜,动词,褒义,赞扬,爱护/珍惜,
暧昧,形容词,贬义,批评,含糊/含混,
安详,形容词,褒义,赞扬,从容/稳重,
暗藏,动词,贬义,贬责,窝藏,
暗害,动词,贬义,憎恶,暗杀/暗算,
暗箭,名词,贬义,憎恶,暗器/冷箭,
暗算,动词,贬义,憎恶,算计/陷害,
暗无天日,成语,贬义,贬责,,
肮脏,形容词,贬义,批评/憎恶,邋遢/龌龊/污秽,
昂扬,形容词,褒义,赞扬,昂然/高昂/激昂,
傲慢,形容词,贬义,贬责,骄傲/轻慢,
傲然,形容词,褒义,赞扬,岿然/凛然,
八面玲珑,成语,贬义,批评,八面光,
巴结,动词,贬义,贬责,谄媚/阿谀/逢迎/奉承/拍马,
拔苗助长,成语,贬义,批评,欲速不达,
跋扈,形容词,贬义,憎恶,霸道/骄横/蛮横/专横,
把持,动词,贬义,贬责,操纵/独揽,
霸道,形容词,贬义,憎恶,蛮横/强横/霸气,
霸占,动词,贬义,憎恶,掠夺/强占/侵占,
白璧无瑕,成语,褒义,赞扬,十全十美/完美无缺,
白眼儿狼,惯用语,贬义,贬责,,
百发百中,成语,褒义,赞扬,弹无虚发,
百里挑一,成语,褒义,赞扬,出类拔萃/无出其右,
百炼成钢,成语,褒义,赞扬,千锤百炼,
百战百胜,成语,褒义,赞扬,百战不殆/所向披靡/所向无敌/战无不胜,
百战不殆,成语,褒义,赞扬,百战百胜/战无不胜,
百折不挠,成语,褒义,赞扬,不屈不挠/坚忍不拔/一往无前/勇往直前,
摆架子,惯用语,贬义,批评,拿架子,
败笔,名词,贬义,批评,,
败坏,动词/形容词,贬义,贬责,毁坏/破坏/损害/堕落/腐败,
败家子儿,惯用语,贬义,贬责,,
败类,名词,贬义,憎恶,丑类,
败露,动词,贬义,憎恶,东窗事发,
斑斓,形容词,褒义,赞扬,灿烂/绚烂/绚丽,
搬弄是非,成语,贬义,批评,搬嘴弄舌/惹是生非,
半瓶醋,惯用语,贬义,批评,,
半途而废,成语,贬义,批评,功亏一篑/前功尽弃/有始无终/有头无尾,
绊脚石,惯用语,贬义,批评,拦路虎,
帮派,名词,贬义,贬责,团伙/小集团,
帮凶,名词,贬义,憎恶,鹰犬/爪牙/走狗,
榜样,名词,褒义,赞扬,标兵/表率/楷模/模范,
包办代替,成语,贬义,批评,越俎代庖,
包庇,动词,贬义,贬责,庇护/袒护,
包藏祸心,成语,贬义,憎恶,心怀鬼胎,
褒扬,动词,褒义,赞扬,褒奖/表扬/赞扬,
饱食终日,成语,贬义,贬责,无所事事/无所用心,
宝贵,形容词,褒义,赞扬,可贵/珍贵,
宝库,名词,褒义,赞扬,宝藏,
宝藏,名词,褒义,赞扬,宝库,
保护伞,惯用语,贬义,憎恶,,
保守,形容词,贬义,批评,抱残守缺/因循守旧,
抱残守缺,成语,贬义,贬责,固步自封/因循守旧,
抱负,名词,褒义,赞扬,理想/雄心/壮志,
抱头鼠窜,成语,贬义,憎恶,狼奔豕突/逃之夭夭,
报国,动词,褒义,赞扬,爱国,
暴利,名词,贬义,贬责,,
暴虐,形容词,贬义,憎恶,残暴/残酷/凶暴/凶残/凶恶,
暴徒,名词,贬义,憎恶,歹徒/恶棍,
暴行,名词,贬义,憎恶,兽行,
卑鄙,形容词,贬义,憎恶,卑劣,
卑躬屈膝,成语,贬义,憎恶,卑躬屈节/奴颜婢膝,
卑劣,形容词,贬义,憎恶,卑鄙/恶劣,
悲壮,形容词,褒义,敬重,雄壮/壮烈,
背信弃义,成语,贬义,贬责,忘恩负义,
本末倒置,成语,贬义,批评,舍本逐末,
笨拙,形容词,贬义,批评,蠢笨/愚笨/拙笨,
笔底生花,成语,褒义,赞扬,,
笔杆子,惯用语,褒义,赞扬,,
闭关自守,成语,贬义,批评,闭关锁国,
闭门造车,成语,贬义,批评,,
庇护,动词,贬义,贬责,包庇/袒护,
弊病,名词,贬义,批评,弊端/毛病/缺点,
弊端,名词,贬义,批评,弊病,
变本加厉,成语,贬义,贬责,,
变节,动词,贬义,憎恶,叛变,
标榜,动词,贬义,贬责/批评,吹嘘/夸耀,
标兵,名词,褒义,赞扬,榜样/表率/模范,
标新立异,成语,贬义,批评,,
标新立异,成语,褒义,赞扬,独树一帜/独辟蹊径,
标致,形容词,褒义,赞扬,美丽/好看/漂亮,
表里如一,成语,褒义,赞扬,心口如一,
表率,名词,褒义,赞扬,榜样/标兵/模范,
表扬,动词,褒义,赞扬,褒扬/表彰/赞扬,
表彰,动词,褒义,赞扬,褒奖/褒扬/表扬,
别有天地,成语,褒义,赞扬,别有洞天,
别有用心,成语,贬义,憎恶,包藏祸心/居心叵测,
别致,形容词,褒义,赞扬,新奇,
彬彬有礼,成语,褒义,赞扬,文质彬彬,
波澜壮阔,成语,褒义,赞扬,风起云涌/汹涌澎湃,
博学多才,成语,褒义,赞扬,博学多能/博学多闻,
捕风捉影,成语,贬义,贬责,无中生有,
不凡,形容词,褒义,赞扬,非凡/卓越,
不可救药,成语,贬义,贬责,病入膏肓,
不落窠臼,成语,褒义,赞扬,别出心裁/独辟蹊径/独树一帜,
不屈不挠,成语,褒义,赞扬,百折不挠/坚贞不屈,
不同凡响,成语,褒义,赞扬,超群绝伦/出类拔萃,
不朽,形容词,褒义,赞扬,,
不学无术,成语,贬义,贬责,胸无点墨,
不择手段,成语,贬义,憎恶,,
才干,名词,褒义,赞扬,才华/才能/才识/才学/才智,
才华,名词,褒义,赞扬,才干/才能/才识/才学/才智,
才能,名词,褒义,赞扬,才干/才华/才学/才智,
残暴,形容词,贬义,憎恶,残酷/残忍/凶暴/凶残/凶恶,
残害,动词,贬义,憎恶,戕害/杀害/伤害,
残酷,形容词,贬义,憎恶,残暴/残忍/冷酷/凶狠/严酷,
残忍,形容词,贬义,憎恶,残暴/残酷/狠毒/凶狠,
蚕食鲸吞,成语,贬义,憎恶,,
惨无人道,成语,贬义,憎恶,惨绝人寰,
灿烂,形容词,褒义,喜爱/赞扬,璀璨/绚烂/光辉/光明/辉煌,
藏垢纳污,成语,贬义,憎恶,,
操纵,动词,贬义,贬责,把持,
草包,名词,贬义,批评,庸才/庸人,
草菅人命,成语,贬义,憎恶,视若草芥,
草率,形容词,贬义,批评,粗率/马虎,
豺狼,名词,贬义,憎恶,虎豹/蛇蝎,
谗言,名词,贬义,憎恶,谰言,
谄媚,动词,贬义,贬责,阿谀/逢迎/拍马/讨好,
昌盛,形容词,褒义,赞扬,繁荣/富强/强盛/兴盛/兴旺,
猖獗,形容词,贬义,憎恶,猖狂/疯狂,
猖狂,形容词,贬义,憎恶,猖獗/疯狂,
唱高调,惯用语,贬义,批评,,
抄袭,动词,贬义,批评/贬责,剽窃/因袭/沿袭,
超群,形容词,褒义,赞扬,超凡/超绝/出众/杰出/卓越,
巢穴,名词,贬义,憎恶,老巢,
扯皮,动词,贬义,批评,,
彻头彻尾,成语,贬义,贬责,,
沉沦,动词,贬义,贬责,沉溺,
沉溺,动词,贬义,贬责,沉沦,
陈陈相因,成语,贬义,批评,固步自封/因循守旧/墨守陈规/一仍旧贯,
陈词滥调,成语,贬义,贬责,,
陈腐,形容词,贬义,贬责,陈旧/腐朽,
趁火打劫,成语,贬义,贬责,乘人之危/浑水摸鱼/落井下石,
称颂,动词,褒义,赞扬,称誉/称赞/歌颂/颂扬/赞颂/赞扬/赞誉,
称赞,动词,褒义,赞扬,称誉/夸奖/赞美/赞叹/赞许/赞扬/赞誉,
成功,动词,褒义,赞扬,胜利,
成果,名词,褒义,赞扬,硕果/成就,
成就,名词,褒义,赞扬,成果/成绩,
诚恳,形容词,褒义,赞扬,诚心/诚挚/恳切/真诚,
诚实,形容词,褒义,赞扬,诚挚/真诚,
诚心诚意,成语,褒义,赞扬,真心真意/真心实意,
诚挚,形容词,褒义,赞扬,真挚/诚恳/真诚,
乘风波浪,成语,褒义,赞扬,劈波斩浪,
乘人之危,成语,贬义,贬责,趁火打劫/浑水摸鱼/落井下石,
吃苦耐劳,成语,褒义,赞扬,克勤克俭,
痴心妄想,成语,贬义,贬责,胡思乱想,
驰名,动词,褒义,赞扬,驰誉/闻名/著名,
叱咤风云,成语,褒义,赞扬,气吞山河/气壮山河,
赤诚,形容词,褒义,赞扬,真诚/至诚/忠诚,
赤胆忠心,成语,褒义,赞扬,忠心耿耿,
冲锋陷阵,成语,褒义,赞扬,赴汤蹈火,
充斥,动词,贬义,贬责,,
充沛,形容词,褒义,赞扬,,
憧憬,动词,褒义,喜爱,向往,
重演,动词,贬义,贬责,,
崇高,形容词,褒义,赞扬,高贵/高尚/神圣,
崇敬,动词,褒义,敬重,敬佩/敬仰/敬重/尊敬,
宠儿,名词,贬义,鄙视,,
宠信,动词,贬义,贬责,宠爱,
丑八怪,惯用语,贬义,厌恶,,
丑恶,形容词,贬义,憎恶,丑陋/恶劣,
丑化,动词,贬义,贬责,,
丑剧,名词,贬义,贬责/讥讽,,
丑陋,形容词,贬义,厌恶,难看,
丑态,名词,贬义,厌恶,,
丑闻,名词,贬义,厌恶,,
臭架子,惯用语,贬义,厌恶,,
臭名远扬,成语,贬义,鄙视/厌恶,臭名昭著,
臭名昭著,成语,贬义,憎恶,臭名远扬,
臭味相投,成语,贬义,贬责/厌恶,沆瀣一气,
出尔反尔,成语,贬义,贬责,反复无常/朝令夕改/朝三暮四,
出类拔萃,成语,褒义,赞扬,超群绝伦,
出卖,动词,贬义,憎恶,,
出色,形容词,褒义,赞扬,出众/非凡/杰出/卓越,
出众,形容词,褒义,赞扬,出色/杰出/卓越,
处心积虑,成语,贬义,憎恶,费尽心机,
传家宝,名词,褒义,赞扬,,
传颂,动词,褒义,赞扬,歌颂/颂扬,
串通,动词,贬义,贬责,勾结,
闯将,名词,褒义,赞扬,干将/猛将,
吹大气,惯用语,贬义,批评,吹大炮/吹牛皮,
吹捧,动词,贬义,贬责,吹嘘/奉承/拍马/阿谀,
吹嘘,动词,贬义,贬责,吹牛/吹捧,
纯洁,形容词,褒义,赞扬,纯粹/高尚,
纯真,形容词,褒义,赞扬,纯洁/真诚/真挚,
淳朴,形容词,褒义,赞扬,朴实/质朴,
蠢蠢欲动,成语,贬义,憎恶,,
慈爱,形容词,褒义,喜爱,慈祥/爱怜,
慈祥,形容词,褒义,喜爱,慈爱/和蔼,
聪慧,形容词,褒义,赞扬,聪明/聪颖,
聪明,形容词,褒义,赞扬,聪慧/聪颖,
聪颖,形容词,褒义,赞扬,聪慧/聪明,
粗暴,形容词,贬义,贬责,暴躁/粗鲁/粗野,
粗鲁,形容词,贬义,贬责,粗暴/鲁莽,
粗心,形容词,贬义,批评,马虎/大意,
粗枝大叶,成语,贬义,批评,粗心大意,
粗制滥造,成语,贬义,贬责,,
摧残,动词,贬义,贬责,损害/残害,
脆弱,形容词,贬义,批评,软弱/懦弱,
达观,形容词,褒义,赞扬,豁达/旷达,
打家劫舍,成语,贬义,憎恶,趁火打劫,
打退堂鼓,惯用语,贬义,批评,半途而废/功亏一篑/前攻尽弃,
大刀阔斧,成语,褒义,赞扬,当机立断/雷厉风行/快刀斩乱麻,
大度,形容词,褒义,赞扬,豁达/宽容/旷达,
大放厥词,成语,贬义,贬责,,
大公无私,成语,褒义,赞扬,公而忘私/克己奉公,
大肆,副词,贬义,憎恶,肆意,
大无畏,形容词,褒义,赞扬,无畏/勇敢,
大显身手,成语,褒义,赞扬,大显神通/各显神通,
大显神通,成语,褒义,赞扬,大显身手/各显神通,
大义凛然,成语,褒义,赞扬,坚强不屈/临危不惧,
大杂烩,惯用语,贬义,贬责,,
呆板,形容词,贬义,批评,刻板/死板,
歹徒,名词,贬义,憎恶,暴徒,
单调,形容词,贬义,批评,简单/贫乏,
殚精竭虑,成语,褒义,赞扬,尽心尽力/尽心竭力,
胆大妄为,成语,贬义,憎恶,胡作非为,
胆大心细,成语,褒义,赞扬,,
胆怯,形容词,贬义,贬责,怯懦/畏怯/畏缩,
胆小如鼠,成语,贬义,贬责,畏首畏尾,
当机立断,成语,褒义,赞扬,大刀阔斧/雷厉风行/斩钉截铁/快刀斩乱麻,
党羽,名词,贬义,憎恶,朋党/死党,
捣鬼,动词,贬义,憎恶,捣乱,
倒行逆施,成语,贬义,憎恶,,
盗窃,动词,贬义,憎恶,盗用/扒窃/窃取/偷窃/偷盗/行窃,
盗用,动词,贬义,憎恶,冒充,
得逞,动词,贬义,憎恶,,
得寸进尺,成语,贬义,贬责,得陇望蜀/贪得无厌,
得过且过,成语,贬义,贬责,苟且偷安/苟且偷生,
得陇望蜀,成语,贬义,贬责,得寸进尺/贪得无厌,
德高望重,成语,褒义,赞扬,德深望重,
低劣,形容词,贬义,贬责,粗劣/拙劣,
低三下四,成语,贬义,贬责,低声下气,
诋毁,动词,贬义,憎恶,诽谤/毁谤/污蔑,
抵赖,动词,贬义,憎恶,狡赖,
地头蛇,惯用语,贬义,憎恶,地痞/恶霸,
颠倒黑白,成语,贬义,贬责,混淆黑白/颠倒是非/混淆是非,
颠覆,动词,贬义,憎恶,,
颠扑不破,成语,褒义,赞扬,牢不可破,
颠三倒四,成语,贬义,批评,语无伦次/杂乱无章,
典范,名词,褒义,赞扬,榜样/范例/楷模/模范,
典雅,形容词,褒义,赞扬,雅致,
玷污,动词,贬义,贬责,损害/污辱,
喋喋不休,成语,贬义,批评,滔滔不绝/夸夸其谈,
顶梁柱,惯用语,褒义,赞扬,擎天柱,
顶天立地,成语,褒义,赞扬,,
动人,形容词,褒义,赞扬,感人,
动听,形容词,褒义,赞扬,,
兜售,动词,贬义,贬责,,
毒害,动词,贬义,憎恶,侵害/损害,
毒辣,形容词,贬义,憎恶,残忍/恶毒/狠毒,
独裁,动词,贬义,憎恶,专制,
独断专行,成语,贬义,贬责,一意孤行/刚愎自用,
独具匠心,成语,褒义,赞扬,匠心独运,
端庄,形容词,褒义,赞扬,大方/庄重,
短小精悍,成语,褒义,赞扬,言简意赅/简明扼要/要言不烦,
多才多艺,成语,褒义,赞扬,,
多面手,惯用语,褒义,赞扬,,
多谋善断,成语,褒义,赞扬,足智多谋,
堕落,动词,贬义,贬责,腐化/沉沦,
阿谀,动词,贬义,贬责,巴结/逢迎/奉承/拍马/讨好/迎合,
婀娜多姿,成语,褒义,喜爱,苗条/轻盈,
讹诈,动词,贬义,贬责,勒索/敲诈/威逼,
扼杀,动词,贬义,贬责,摧残/压制,
恶霸,名词,贬义,憎恶,恶狼/恶魔/魔鬼/凶神,
恶毒,形容词,贬义,贬责,歹毒/狠毒/阴毒,
恶贯满盈,成语,贬义,憎恶,罪大恶极/罪恶滔天,
恶棍,名词,贬义,憎恶,地痞/恶霸/无赖/地头蛇,
恶果,名词,贬义,贬责,后果/下场,
恶劣,形容词,贬义,憎恶,卑劣,
恶名,名词,贬义,贬责,臭名/骂名,
恶魔,名词,贬义,憎恶,恶鬼/魔鬼/妖魔,
恶习,名词,贬义,憎恶,陋习,
恶行,名词,贬义,贬责,劣迹,
恶作剧,惯用语,贬义,批评,,
尔虞我诈,成语,贬义,憎恶,勾心斗角,
耳聪目明,成语,褒义,赞扬,聪明伶俐,
耳目一新,成语,褒义,喜爱,焕然一新/面目一新,
二百五,惯用语,贬义,批评,二愣子/二五眼,
二流子,名词,贬义,憎恶,懒汉,
发达,形容词,褒义,赞扬,昌盛/繁荣/兴盛/兴旺,
发愤图强,成语,褒义,赞扬,发奋图强/奋发图强,
发扬,动词,褒义,赞扬,提倡,
发扬光大,成语,褒义,赞扬,,
烦琐,形容词,贬义,批评,繁冗/啰嗦,
繁荣,形容词,褒义,赞扬,昌盛/发达/繁华/繁盛/兴盛/兴旺,
反动,形容词,贬义,憎恶,,
反扑,动词,贬义,憎恶,,
泛滥,动词,贬义,贬责,,
范例,名词,褒义,赞扬,典范,
放空炮,惯用语,贬义,批评,,
放冷风,惯用语,贬义,贬责,,
放肆,形容词,贬义,批评,放纵,
飞扬跋扈,成语,贬义,憎恶,横行霸道/胡作非为/为非作歹,
非凡,形容词,褒义,赞扬,不凡/超凡,
诽谤,动词,贬义,憎恶,毁谤/诋毁/诬蔑,
废寝忘食,成语,褒义,赞扬,发愤忘食/孜孜不倦,
奋不顾身,成语,褒义,赞扬,出生入死/奋勇当先/舍生忘死/挺身而出,
奋斗,动词,褒义,赞扬,,
奋发图强,成语,褒义,赞扬,发愤图强/发奋图强,
奋勇,形容词,褒义,赞扬,奋发/英勇/勇敢,
丰碑,名词,褒义,赞扬,,
丰富多彩,成语,褒义,赞扬,琳琅满目/气象万千,
丰功伟绩,成语,褒义,赞扬,汗马功劳,
丰硕,形容词,褒义,赞扬,丰富/丰厚/丰满/丰盛,
风度,名词,褒义,喜爱,风采/风范/风韵/风姿,
风华正茂,成语,褒义,赞扬,年轻有为,
疯狂,形容词,贬义,憎恶,猖獗/猖狂,
逢迎,动词,贬义,贬责,谄媚/吹捧/阿谀/奉承/拍马/讨好,
奉承,动词,贬义,贬责,吹捧/阿谀/逢迎/恭维/讨好,
奉献,动词,褒义,赞扬,贡献,
肤浅,形容词,贬义,批评,,
敷衍了事,成语,贬义,批评,敷衍塞责/马马虎虎,
浮躁,形容词,贬义,批评,急躁,
腐败,形容词,贬义,贬责,腐化/腐朽,
腐化,形容词,贬义,贬责,腐败/腐朽,
腐蚀,动词,贬义,憎恶,侵蚀,
腐朽,形容词,贬义,憎恶,陈腐/腐败/腐化,
负隅顽抗,成语,贬义,憎恶,,
赴汤蹈火,成语,褒义,赞扬,奋不顾身/舍生忘死,
复辟,动词,贬义,憎恶,,
富丽堂皇,成语,褒义,赞扬,,
富强,形容词,褒义,赞扬,昌盛/繁荣/强大/强盛,
富饶,形容词,褒义,赞扬,丰饶/富裕,
干练,形容词,褒义,赞扬,精明/利落,
刚愎自用,成语,贬义,贬责,独断专行/固执己见,
刚强,形容词,褒义,赞扬,坚强/刚毅,
刚毅,形容词,褒义,赞扬,刚强/坚毅,
刚正不阿,成语,褒义,赞扬,,
高傲,形容词,贬义,批评,骄傲/自大,
高材生,名词,褒义,赞扬,全优生,
高超,形容词,褒义,赞扬,出色/非凡/卓越,
高风亮节,成语,褒义,赞扬,,
高贵,形容词,褒义,喜爱/赞扬,高尚/崇高/贵重/珍贵,
高明,形容词,褒义,赞扬,高超/高强,
高尚,形容词,褒义,赞扬,崇高/高贵/高雅,
高雅,形容词,褒义,赞扬,高尚/文雅,
高瞻远瞩,成语,褒义,赞扬,,
歌功颂德,成语,贬义,贬责,,
歌颂,动词,褒义,赞扬,颂扬/赞美/赞颂,
工整,形容词,褒义,赞扬,细致/整齐,
公平,形容词,褒义,赞扬,公道/公正,
公正,形容词,褒义,赞扬,公平,
功绩,名词,褒义,赞扬,功劳/功勋,
功劳,名词,褒义,赞扬,功绩/功勋/贡献,
功勋,名词,褒义,赞扬,功劳/功绩/勋劳,
恭敬,形容词,褒义,敬重,尊敬,
恭维,动词,贬义,贬责,奉承/讨好,
贡献,动词/名词,褒义,赞扬,奉献,
勾搭,动词,贬义,憎恶,串通/勾结,
勾结,动词,贬义,憎恶,串通/勾搭,
勾引,动词,贬义,憎恶,勾搭/勾结,
勾心斗角,成语,贬义,憎恶,尔虞我诈/明争暗斗,
苟且偷安,成语,贬义,贬责,得过且过/苟且偷生,
苟且偷生,成语,贬义,贬责,得过且过/苟且偷安,
苟延残喘,成语,贬义,憎恶,气息奄奄/日薄西山,
狗腿子,惯用语,贬义,憎恶,帮凶/走狗,
狗仗人势,成语,贬义,憎恶,狐假虎威/仗势欺人,
勾当,名词,贬义,憎恶,,
沽名钓誉,成语,贬义,贬责,欺世盗名,
辜负,动词,贬义,批评,,
蛊惑,动词,贬义,贬责,欺骗/煽动,
鼓励,动词,褒义,喜爱,鼓舞/激励/勉励,
鼓舞,动词/形容词,褒义,喜悦,鼓励/兴奋/振作,
固执,动词/形容词,贬义,批评,顽固,
固步自封,成语,贬义,批评,裹足不前/因循守旧,
寡廉鲜耻,成语,贬义,憎恶,恬不知耻,
惯技,名词,贬义,憎恶,伎俩,
光彩,名词/形容词,褒义,喜爱/赞扬,光辉/光荣,
光辉,名词/形容词,褒义,喜爱/赞扬,光明/灿烂/辉煌/光彩,
光明,形容词,褒义,赞扬,光辉,
光明磊落,成语,褒义,赞扬,光明正大/正大光明,
光荣,名词/形容词,褒义,赞扬,光彩/荣耀/荣誉,
龟缩,动词,贬义,憎恶/鄙视,藏匿,
瑰宝,名词,褒义,喜爱,珍宝,
瑰丽,形容词,褒义,赞扬,美丽/绮丽/绚丽/艳丽,
诡计,名词,贬义,憎恶,花招/奸计/阴谋,
鬼把戏,惯用语,贬义,憎恶/贬责,鬼花招,
鬼斧神工,成语,褒义,赞扬,,
鬼鬼祟祟,成语,贬义,贬责,鬼头鬼脑/偷偷摸摸,
鬼哭狼嚎,成语,贬义,贬责,,
刽子手,名词,贬义,憎恶,,
国宝,名词,褒义,喜爱,,
国粹,名词,褒义,赞扬,,
果断,形容词,褒义,赞扬,果敢/果决,
果敢,形容词,褒义,赞扬,果断/勇敢,
裹足不前,成语,贬义,批评,固步自封/停滞不前,
过错,名词,贬义,批评,过失/错误,
过河拆桥,成语,贬义,贬责,忘恩负义,
过街老鼠,成语,贬义,憎恶,,
哈巴狗,惯用语,贬义,憎恶/鄙视,,
害群之马,成语,贬义,贬责,,
害人虫,惯用语,贬义,憎恶,,
含沙射影,成语,贬义,憎恶,指桑骂槐,
汉奸,名词,贬义,憎恶,卖国贼,
捍卫,动词,褒义,赞扬,保卫,
悍然,副词,贬义,憎恶,,
豪杰,名词,褒义,赞扬,英雄,
豪迈,形容词,褒义,赞扬,豪放,
豪情,名词,褒义,赞扬,激情/壮志,
豪爽,形容词,褒义,赞扬,豪放/直爽,
豪言壮语,成语,褒义,赞扬,,
好汉,名词,褒义,赞扬,铁汉/英雄/硬汉,
好吃懒做,成语,贬义,批评,好逸恶劳,
好大喜功,成语,贬义,批评,,
好高骛远,成语,贬义,批评,,
好为人师,成语,贬义,批评,骄傲自大,
好学不倦,成语,褒义,赞扬,学而不厌,
好学深思,成语,褒义,赞扬,,
好逸恶劳,成语,贬义,贬责,好吃懒做,
浩劫,名词,贬义,贬责,灾难/灾祸,
浩然正气,成语,褒义,赞扬,,
